Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0.060005877,0.005332875,-0.010418633,0.030847607,-0.046179663,-0.0015654443,0.0013626039,0.040709794,-0.05267858,0.069129765
0.05999235,0.011433184,0.111575514,-0.05415122,-0.047132276,-0.004248657,0.00091425324,0.035152446,0.04942688,0.022370232
0.059982512,0.03463194,0.011518177,-0.014135989,-0.00012914275,0.012658918,0.031005325,0.03396803,0.004445295,-0.042477015
0.06001355,0.028570492,0.03232331,-0.0035508494,0.031974975,0.02049612,-0.043410964,-0.034274105,-0.028257761,-0.020811645
0.059997525,-0.010587316,-0.045089472,0.021359691,-0.10033247,-0.017353918,-0.0117367515,0.016973687,-0.056944255,0.015534969
0.05999712,-0.056058157,0.017094644,-0.016777853,-0.0064014443,-0.03278045,-0.062536135,0.05007873,0.12889378,-0.10988435
0.060001668,0.06985026,-0.0107840365,0.0182961,0.03146314,0.15436377,0.06782059,-0.04064316,0.009046705,-0.052912153
0.06000322,-0.08424465,0.068219945,0.114820495,-0.0890663,0.06802469,0.04153363,0.0015091049,0.004186907,-0.08117349
0.05999705,0.080137335,-0.07624962,-0.067903675,-0.007734095,0.03820421,-0.042996403,-0.09359427,0.037910502,-0.04382307
0.059995927,0.04425556,-0.0521841,-0.10184355,-0.097229995,0.002710872,-0.021401526,0.10748826,-0.04021661,-0.012203603
0.060002368,0.06746474,0.009538856,0.049319506,0.031211209,0.012592873,-0.02328209,0.049719002,-0.0412706,0.04900647
0.060005877,0.0028120296,0.074713014,0.030579325,0.07853923,0.047368024,-0.048487943,-0.08432247,0.06495719,-0.04663371
0.060002096,-0.027420415,-0.010202536,0.062405027,0.032944914,-0.067932345,-0.03895651,0.06328628,-0.010549797,-0.047152624
0.059999216,-0.0070248763,-0.005675479,-0.073840685,-0.023329359,-0.09651953,0.10321539,0.030579504,0.05334317,0.031168139
0.060018733,0.074519575,0.00040298037,0.0058252234,-0.011813441,0.0050959773,-0.082357086,0.050853822,0.17808622,0.085329644
0.06000399,0.010332856,-0.0880308,0.012290673,-0.05536709,0.02399475,-0.02903212,-0.040427715,0.071427844,-0.10265989
0.05999114,0.065627046,0.02866898,0.0034906429,0.0069932975,-0.040312354,0.04393882,-0.0932688,0.06607499,-0.023718826
0.060003355,0.08262366,-0.029568763,0.027560866,-0.05043185,-0.007140127,-0.045534432,-0.13879678,0.010597598,-0.0149288215
0.059990518,0.013971932,-0.09348157,0.012579613,-0.09896065,0.072014004,-0.0542007,-0.1069992,-0.0028415653,-0.018566154
0.060006164,-0.08141928,0.118909,0.0052141068,-0.07008829,0.070476666,-0.031509843,-0.057199325,0.029180916,0.032453395
0.060000826,-0.04939085,0.016111197,-0.067644864,-0.06540008,-0.0768244,-0.011993685,0.045514975,0.04949241,-0.010801126
0.05999825,0.16145717,0.090640925,-0.0054191477,0.029094443,0.013939388,-0.039707992,-0.017110486,0.05701776,0.026160408
0.06000114,0.005620476,0.1481489,-0.0052836547,0.04218089,-0.07671105,0.027272275,0.022133244,-0.01900519,-0.013253484
0.05999152,-0.040398173,0.0262149,0.04065438,0.019160867,0.07337832,0.01262848,-0.02867755,0.019112967,-0.07706478
0.060009595,-0.03343449,0.0011888448,-0.038252354,0.16528285,0.008899917,-0.02816153,-0.008034035,-0.029958053,0.038563747
0.060000934,-0.012174861,0.06979866,0.061588444,0.013386353,-0.017289218,-0.027723964,-0.035886418,-0.04204236,0.00034142417
0.059995867,0.028666375,-0.0434391,-0.14541428,-0.04991506,0.10909858,0.0075147203,-0.01212756,-0.016367609,0.0005344531
0.06001467,-0.009081275,0.010582695,-0.001358653,-0.016986117,-0.08900299,0.07439054,0.010465427,-0.04537621,0.00121298
0.05999013,-0.024086693,0.005286532,-0.055172026,-0.03463791,0.020833135,-0.021070743,0.024047315,-0.05360432,-0.050182153
0.060007982,0.09383946,0.06153163,0.028433966,0.001389083,0.12523901,-0.00868403,-0.005893317,-0.019369897,-0.0035816464
0.060007956,-0.014096387,-0.023187906,-0.006680362,0.039657947,0.062223434,-0.0062136,0.018663958,-0.07163669,-0.002067946
0.059996337,0.024253977,-0.011016937,0.016303867,-0.07115268,-0.098652214,0.014949014,-0.00021203281,-0.012241166,0.050001983
0.060012653,0.06089669,-0.05800764,-0.00047138883,0.13471715,-0.037957292,-0.02197527,0.028668523,-0.00093193416,-0.013416005
